County_Name,EMP,ESTAB,PAYANN,LFO_LABEL,NAICS2017_LABEL,EMPSZES_LABEL,FIPS_State,FIPS_County,State_Name,GEO_ID
Barrow,29,3,481,All establishments,Motion picture and video industries,All establishments,5121,13, Georgia,0500000US13013
Bartow,13,3,658,All establishments,Motion picture and video industries,All establishments,5121,13, Georgia,0500000US13015
Carroll,4,3,104,All establishments,Motion picture and video industries,All establishments,5121,13, Georgia,0500000US13045
Chatham,69,20,3422,All establishments,Motion picture and video industries,All establishments,5121,13, Georgia,0500000US13051
Cherokee,27,17,1240,All establishments,Motion picture and video industries,All establishments,5121,13, Georgia,0500000US13057
Clarke,43,8,955,All establishments,Motion picture and video industries,All establishments,5121,13, Georgia,0500000US13059
Clayton,35,10,720,All establishments,Motion picture and video industries,All establishments,5121,13, Georgia,0500000US13063
Cobb,699,84,18785,All establishments,Motion picture and video industries,All establishments,5121,13, Georgia,0500000US13067
Coweta,152,10,3068,All establishments,Motion picture and video industries,All establishments,5121,13, Georgia,0500000US13077
DeKalb,881,129,34463,All establishments,Motion picture and video industries,All establishments,5121,13, Georgia,0500000US13089
Dougherty,27,3,1125,All establishments,Motion picture and video industries,All establishments,5121,13, Georgia,0500000US13095
Douglas,33,6,351,All establishments,Motion picture and video industries,All establishments,5121,13, Georgia,0500000US13097
Fayette,100,19,5638,All establishments,Motion picture and video industries,All establishments,5121,13, Georgia,0500000US13113
Floyd,5,4,203,All establishments,Motion picture and video industries,All establishments,5121,13, Georgia,0500000US13115
Forsyth,71,18,2556,All establishments,Motion picture and video industries,All establishments,5121,13, Georgia,0500000US13117
Fulton,2609,223,184949,All establishments,Motion picture and video industries,All establishments,5121,13, Georgia,0500000US13121
Glynn,34,5,524,All establishments,Motion picture and video industries,All establishments,5121,13, Georgia,0500000US13127
Gwinnett,372,74,18636,All establishments,Motion picture and video industries,All establishments,5121,13, Georgia,0500000US13135
Hall,23,5,377,All establishments,Motion picture and video industries,All establishments,5121,13, Georgia,0500000US13139
Henry,20,7,413,All establishments,Motion picture and video industries,All establishments,5121,13, Georgia,0500000US13151
Lowndes,22,3,371,All establishments,Motion picture and video industries,All establishments,5121,13, Georgia,0500000US13185
Muscogee,146,8,2809,All establishments,Motion picture and video industries,All establishments,5121,13, Georgia,0500000US13215
Newton,6,3,1888,All establishments,Motion picture and video industries,All establishments,5121,13, Georgia,0500000US13217
Oconee,35,3,407,All establishments,Motion picture and video industries,All establishments,5121,13, Georgia,0500000US13219
Paulding,24,4,435,All establishments,Motion picture and video industries,All establishments,5121,13, Georgia,0500000US13223
Richmond,54,7,811,All establishments,Motion picture and video industries,All establishments,5121,13, Georgia,0500000US13245
Rockdale,22,5,486,All establishments,Motion picture and video industries,All establishments,5121,13, Georgia,0500000US13247
Thomas,10,3,1562,All establishments,Motion picture and video industries,All establishments,5121,13, Georgia,0500000US13275
Troup,15,3,408,All establishments,Motion picture and video industries,All establishments,5121,13, Georgia,0500000US13285
Walton,11,3,499,All establishments,Motion picture and video industries,All establishments,5121,13, Georgia,0500000US13297
